1,1,50.00,2026-03-20 08:30:00,门诊挂号收入
2,2,2000.00,2026-03-20 10:00:00,住院押金收取
3,3,66.00,2026-03-23 15:00:00,药房处方销售
4,1,15.00,2026-03-24 09:00:00,门诊挂号收入
5,2,1000.00,2026-03-24 10:30:00,住院押金收取
6,3,45.00,2026-03-24 11:20:00,药房处方销售
7,1,50.00,2026-03-24 14:45:00,门诊挂号收入
8,2,600.00,2026-03-24 15:50:00,住院押金收取
9,3,22.50,2026-03-24 16:10:00,药房处方销售
10,1,15.00,2026-03-25 08:15:00,门诊挂号收入
11,2,1500.00,2026-03-25 09:05:00,住院押金收取
12,3,68.00,2026-03-25 09:40:00,药房处方销售
13,1,50.00,2026-03-25 10:20:00,门诊挂号收入
14,2,400.00,2026-03-25 11:15:00,住院押金收取
15,3,15.50,2026-03-25 13:30:00,药房处方销售
16,1,15.00,2026-03-25 14:50:00,门诊挂号收入
17,2,750.00,2026-03-25 15:40:00,住院押金收取
18,3,89.40,2026-03-25 16:55:00,药房处方销售
19,1,50.00,2026-03-26 08:10:00,门诊挂号收入
20,2,1200.00,2026-03-26 09:30:00,住院押金收取
21,3,105.00,2026-03-26 10:20:00,药房处方销售
22,1,15.00,2026-03-26 11:40:00,门诊挂号收入
23,2,550.00,2026-03-26 13:25:00,住院押金收取
24,3,34.80,2026-03-26 14:50:00,药房处方销售
25,1,50.00,2026-03-26 15:05:00,门诊挂号收入
26,2,900.00,2026-03-26 16:00:00,住院押金收取
27,3,56.20,2026-03-26 17:15:00,药房处方销售
28,1,15.00,2026-03-27 08:35:00,门诊挂号收入
29,2,650.00,2026-03-27 09:10:00,住院押金收取
30,3,28.50,2026-03-27 10:30:00,药房处方销售
31,1,50.00,2026-03-27 11:25:00,门诊挂号收入
32,2,1100.00,2026-03-27 13:45:00,住院押金收取
33,3,72.90,2026-03-27 14:05:00,药房处方销售
34,1,15.00,2026-03-27 15:20:00,门诊挂号收入
35,2,450.00,2026-03-27 16:55:00,住院押金收取
36,3,19.60,2026-03-27 17:25:00,药房处方销售
37,1,50.00,2026-03-28 08:30:00,门诊挂号收入
38,2,850.00,2026-03-28 09:20:00,住院押金收取
39,3,94.50,2026-03-28 10:40:00,药房处方销售
40,1,15.00,2026-03-28 11:55:00,门诊挂号收入
41,2,700.00,2026-03-28 13:35:00,住院押金收取
42,3,41.20,2026-03-28 14:45:00,药房处方销售
43,1,50.00,2026-03-28 15:15:00,门诊挂号收入
44,2,1300.00,2026-03-28 16:50:00,住院押金收取
45,3,115.80,2026-03-28 17:35:00,药房处方销售
46,1,15.00,2026-03-29 08:25:00,门诊挂号收入
47,2,500.00,2026-03-29 09:15:00,住院押金收取
48,3,25.00,2026-03-29 10:10:00,药房处方销售
49,1,50.00,2026-03-29 11:40:00,门诊挂号收入
50,2,950.00,2026-03-29 13:05:00,住院押金收取
51,3,62.40,2026-03-29 14:20:00,药房处方销售
52,1,15.00,2026-03-29 15:10:00,门诊挂号收入
53,2,880.00,2026-03-29 16:45:00,住院押金收取
54,3,38.90,2026-03-29 17:50:00,药房处方销售
55,1,50.00,2026-03-30 08:20:00,门诊挂号收入
56,2,720.00,2026-03-30 09:35:00,住院押金收取
57,3,49.50,2026-03-30 10:55:00,药房处方销售
58,1,15.00,2026-03-30 11:15:00,门诊挂号收入
59,2,630.00,2026-03-30 13:40:00,住院押金收取
60,3,27.80,2026-03-30 14:25:00,药房处方销售
61,1,50.00,2026-03-30 15:50:00,门诊挂号收入
62,2,1450.00,2026-03-30 16:15:00,住院押金收取
63,3,88.20,2026-03-30 17:30:00,药房处方销售
64,1,15.00,2026-03-31 08:45:00,门诊挂号收入
65,2,920.00,2026-03-31 10:10:00,住院押金收取
